t,devId,seq,ax,ay,az,gx,gy,gz,mx,my,mz
1687757.275939,3954085724,2919,1.92919921875,-1.11181640625,0.61572265625,122.0703125,538.818359375,147.15576171875,0.17368634045124054,0.1488659679889679,-0.32369285821914673
1687757.275939,3954085724,2920,1.56103515625,-0.64208984375,0.9736328125,243.5302734375,649.35302734375,193.7255859375,0.08763991296291351,0.1839384287595749,-0.3488509953022003
1687757.275939,3954085724,2921,0.78466796875,-0.35009765625,1.30712890625,192.81005859375,731.75048828125,234.0087890625,-0.023411493748426437,0.21645087003707886,-0.3358982801437378
1687757.384287,3954085724,2922,0.2275390625,-0.47119140625,1.654296875,131.8359375,808.65478515625,220.64208984375,-0.14034640789031982,0.23053105175495148,-0.29554563760757446
1687757.384287,3954085724,2923,-0.27685546875,-0.47119140625,2.08935546875,132.4462890625,835.205078125,175.84228515625,-0.24281767010688782,0.23539511859416962,-0.22131673991680145
1687757.384287,3954085724,2924,-0.54443359375,-0.16357421875,2.4609375,163.0859375,848.44970703125,159.1796875,-0.31611648201942444,0.2215709388256073,-0.12641333043575287
1687757.384287,3954085724,2925,-0.69091796875,0.0107421875,2.63818359375,76.0498046875,835.14404296875,200.50048828125,-0.3680875897407532,0.20313867926597595,-0.01706266775727272
1687757.384287,3954085724,2926,-0.74853515625,-0.203125,2.59375,-32.65380859375,814.453125,255.67626953125,-0.3754419684410095,0.17523431777954102,0.0815771073102951
1687757.494386,3954085724,2927,-0.83642578125,-0.470703125,2.5859375,-27.4658203125,820.25146484375,196.96044921875,-0.3504370152950287,0.1491219848394394,0.18793867528438568
1687757.494386,3954085724,2928,-1.55419921875,-0.06103515625,2.54443359375,161.9873046875,759.46044921875,49.86572265625,-0.29331788420677185,0.125057652592659,0.2751202881336212
1687757.494386,3954085724,2929,-1.7705078125,0.39453125,2.31005859375,163.51318359375,625.42724609375,82.6416015625,-0.21487095952033997,0.09868930280208588,0.3363965153694153
1687757.494386,3954085724,2930,-2.51513671875,0.59423828125,1.83740234375,7.38525390625,542.54150390625,119.0185546875,-0.14304302632808685,0.08460912108421326,0.36803096532821655
1687757.494386,3954085724,2931,-2.5654296875,0.4306640625,1.3671875,11.23046875,198.3642578125,41.748046875,-0.08837533742189407,0.06976092606782913,0.37600186467170715
1687757.602477,3954085724,2932,0.2431640625,0.0791015625,1.49609375,9.33837890625,110.65673828125,16.2353515625,-0.06949905306100845,0.06848090887069702,0.38870543241500854
1687757.602477,3954085724,2933,-0.6630859375,0.06787109375,1.92236328125,-64.208984375,245.361328125,69.4580078125,-0.03640427067875862,0.07923305034637451,0.3889545798301697
1687757.602477,3954085724,2934,-1.765625,0.02978515625,2.0380859375,-80.56640625,108.94775390625,40.1611328125,-0.015566803514957428,0.09408124536275864,0.3867127299308777
1687757.602477,3954085724,2935,-1.20751953125,0.00390625,1.98193359375,-59.9365234375,-27.2216796875,24.71923828125,-0.013115339912474155,0.09689728170633316,0.3750055134296417
1687757.602477,3954085724,2936,-1.31396484375,0.27001953125,1.939453125,-60.85205078125,-115.41748046875,39.55078125,-0.026598403230309486,0.10560140013694763,0.38696181774139404
1687757.602477,3954085724,2937,-1.365234375,0.67529296875,1.8828125,-53.22265625,-229.248046875,64.94140625,-0.05724172294139862,0.10969744622707367,0.37948912382125854
1687757.712282,3954085724,2938,-1.638671875,1.10205078125,1.94287109375,-111.26708984375,-317.7490234375,89.599609375,-0.10112296044826508,0.12761768698692322,0.3647927939891815
1687757.712282,3954085724,2939,-1.96826171875,1.080078125,2.10986328125,-252.38037109375,-406.6162109375,46.69189453125,-0.16388048231601715,0.15449804067611694,0.34362009167671204
1687757.712282,3954085724,2940,-1.7021484375,0.2578125,2.16845703125,-352.23388671875,-542.78564453125,-18.61572265625,-0.22345109283924103,0.19520258903503418,0.28682753443717957
1687757.712282,3954085724,2941,-1.56787109375,-0.1826171875,2.1591796875,-253.60107421875,-614.31884765625,-27.77099609375,-0.2702741026878357,0.2315550595521927,0.2158367931842804
1687757.712282,3954085724,2942,-1.56298828125,-0.318359375,2.31982421875,-147.88818359375,-709.41162109375,-90.8203125,-0.3146456182003021,0.2438432276248932,0.12367337197065353
1687757.820479,3954085724,2943,-1.69775390625,-0.12353515625,2.619140625,-20.6298828125,-796.38671875,-132.62939453125,-0.3325413465499878,0.2597154676914215,0.0342499315738678
1687757.820479,3954085724,2944,-1.44091796875,0.0888671875,3.28173828125,-28.6865234375,-944.2138671875,-260.25390625,-0.3038591742515564,0.28761982917785645,-0.07385527342557907
1687757.820479,3954085724,2945,-0.142578125,-0.05908203125,3.5087890625,-246.27685546875,-1027.52685546875,-255.126953125,-0.22982491552829742,0.2914598286151886,-0.1919240802526474
1687757.820479,3954085724,2946,0.7763671875,-0.400390625,2.5419921875,-305.17578125,-876.3427734375,-146.97265625,-0.13201142847537994,0.2804517149925232,-0.27437299489974976
1687757.820479,3954085724,2947,-0.109375,-0.34375,1.7666015625,-282.89794921875,-719.6044921875,-203.61328125,-0.021205173805356026,0.24998731911182404,-0.3187110722064972
1687757.930662,3954085724,2948,0.1923828125,-0.35205078125,1.65966796875,-250.79345703125,-851.74560546875,-63.17138671875,0.08837532997131348,0.221314936876297,-0.32693102955818176
1687757.930662,3954085724,2949,1.078125,0.09326171875,1.2998046875,-217.22412109375,-722.900390625,-121.2158203125,0.17491208016872406,0.18957051634788513,-0.3094947338104248
1687757.930662,3954085724,2950,1.96630859375,-0.28857421875,0.783203125,-300.4150390625,-575.8056640625,-52.6123046875,0.25237837433815,0.14784196019172668,-0.2768639028072357
1687757.930662,3954085724,2951,2.509765625,-0.37109375,0.36865234375,-232.72705078125,-363.70849609375,-43.45703125,0.2987110912799835,0.11558552831411362,-0.2432366907596588
1687757.930662,3954085724,2952,1.56201171875,-0.4287109375,0.13525390625,-142.08984375,-204.04052734375,-58.65478515625,0.32396119832992554,0.08870517462491989,-0.2312803566455841
1687757.930662,3954085724,2953,0.93994140625,-0.27392578125,0.275390625,-81.6650390625,-184.87548828125,-60.4248046875,0.33695393800735474,0.06976092606782913,-0.21210040152072906
1687758.040650,3954085724,2954,1.3291015625,-0.30029296875,0.4892578125,-69.27490234375,-218.75,-82.51953125,0.351417601108551,0.06233682110905647,-0.18121320009231567
